,zone temperature,Site Outdoor Air Drybulb Temperature(Environment),Site Outdoor Air Relative Humidity(Environment),Site Wind Speed(Environment),Site Total Solar Radiation Rate per Area(Environment),Zone People Occupant Count(SPACE1-1),control signal
310,20.97031220268959,14.0,97.0,4.85,15.0,0.0,4.0
311,20.09720458765735,14.0,98.5,4.725,39.75,0.0,2.0
312,19.75389526074093,14.0,100.0,4.6,64.5,0.0,5.0
313,19.95814275845266,14.0,100.0,4.35,89.25,0.0,7.0
314,21.83526616724184,14.0,100.0,4.1,114.0,0.0,1.0
315,20.65906403671308,14.0,100.0,3.85,114.5,0.0,8.0
316,21.98369272835911,14.0,100.0,3.6,115.0,0.0,5.0
317,20.99519601486508,14.25,98.5,3.85,115.5,0.0,4.0
318,20.55052769658101,14.5,97.0,4.1,116.0,0.0,7.0
319,21.96386796318212,14.75,95.5,4.35,129.25,0.0,6.0
320,21.14679942391897,15.0,94.0,4.6,142.5,0.0,2.0
321,21.36835724844053,15.25,91.0,4.475,155.75,11.0,1.0
322,21.81419265387407,15.5,88.0,4.35,169.0,11.0,4.0
323,22.18236495285529,15.75,85.0,4.225,179.25,11.0,6.0
324,22.62147019555468,16.0,82.0,4.1,189.5,11.0,6.0
325,23.18420193668084,16.25,80.75,4.1,199.75,11.0,8.0
326,22.02943852745006,16.5,79.5,4.1,210.0,11.0,3.0
327,23.2975773746828,16.75,78.25,4.1,214.75,11.0,8.0
328,22.03373808892933,17.0,77.0,4.1,219.5,11.0,3.0
329,23.50663206841431,17.5,73.75,3.975,224.25,11.0,8.0
330,22.12558471712901,18.0,70.5,3.85,229.0,11.0,4.0
331,23.65969577136767,18.5,67.25,3.725,214.25,11.0,8.0
332,22.16504414557637,19.0,64.0,3.6,199.5,11.0,7.0
333,22.32904985915231,19.25,62.0,4.1,184.75,8.8,7.0
334,22.15167725880264,19.5,60.0,4.6,170.0,8.8,9.0
335,21.08194856223071,19.75,58.0,5.1,171.0,8.8,4.0
336,21.88882091922735,20.0,56.0,5.6,172.0,8.8,7.0
337,22.2843562598402,20.25,54.25,5.475,173.0,4.4,4.0
338,22.40796942082575,20.5,52.5,5.35,174.0,4.4,3.0
339,22.43759037335229,20.75,50.75,5.225,166.0,4.4,0.0
340,22.4578810387825,21.0,49.0,5.1,158.0,4.4,4.0
341,22.37268536001936,21.0,47.5,4.449999999999999,150.0,8.8,2.0
342,22.30764875516903,21.0,46.0,3.8,142.0,8.8,1.0
343,22.29589170683387,21.0,44.5,3.15,141.25,8.8,1.0
344,22.30259104849416,21.0,43.0,2.5,140.5,8.8,6.0
345,22.2789102025571,21.25,43.0,2.625,139.75,11.0,3.0
346,22.27128468123916,21.5,43.0,2.75,139.0,11.0,2.0
347,22.30935018047402,21.75,43.0,2.875,172.25,11.0,1.0
348,22.37292892448161,22.0,43.0,3.0,205.5,11.0,7.0
349,22.07127664761565,22.25,42.5,2.875,238.75,11.0,8.0
350,22.00535467429797,22.5,42.0,2.75,272.0,11.0,1.0
351,22.30709246470334,22.75,41.5,2.625,245.25,11.0,9.0
352,21.11251830382276,23.0,41.0,2.5,218.5,11.0,9.0
353,21.00838606008188,22.5,41.5,2.5,191.75,11.0,2.0
354,21.70729389719249,22.0,42.0,2.5,165.0,11.0,9.0
355,21.05370824737546,21.5,42.5,2.5,143.25,11.0,9.0
356,21.00109528878422,21.0,43.0,2.5,121.5,11.0,4.0
357,21.52050578131785,21.0,43.0,2.775,99.75,11.0,5.0
358,21.70353269422578,21.0,43.0,3.05,78.0,11.0,6.0
359,21.72469666384605,21.0,43.0,3.325,68.5,11.0,2.0
360,21.71894636792648,21.0,43.0,3.6,59.0,11.0,0.0
361,21.35020283559863,20.75,43.0,3.725,49.5,5.5,3.0
362,21.14455672821519,20.5,43.0,3.85,40.0,5.5,1.0
363,20.98035001161853,20.25,43.0,3.975,31.75,5.5,3.0
364,20.85811179526469,20.0,43.0,4.1,23.5,5.5,3.0
365,20.52789996920378,19.5,45.25,4.225,15.25,1.1,2.0
366,21.13511077710915,19.0,47.5,4.35,7.0,1.1,5.0
367,21.38848257357745,18.5,49.75,4.475,0.0,1.1,5.0
368,21.52172571248945,18.0,52.0,4.6,0.0,1.1,6.0
369,21.38686126892328,17.75,53.75,4.85,0.0,1.1,7.0
370,22.01437642750885,17.5,55.5,5.1,0.0,1.1,9.0
371,21.03902500659616,17.25,57.25,5.35,0.0,1.1,8.0
372,21.99477366521801,17.0,59.0,5.6,0.0,1.1,0.0
373,21.48902469564558,16.75,59.0,5.725,0.0,0.0,2.0
374,20.9933003637212,16.5,59.0,5.85,0.0,0.0,0.0
375,20.72099368604245,16.25,59.0,5.975,0.0,0.0,4.0
376,20.56636579591775,16.0,59.0,6.1,0.0,0.0,3.0
377,20.41333953785885,15.5,61.0,5.85,0.0,0.0,3.0
378,20.24647150214135,15.0,63.0,5.6,0.0,0.0,2.0
379,20.08016195112663,14.5,65.0,5.35,0.0,0.0,3.0
380,19.9190021601428,14.0,67.0,5.1,0.0,0.0,7.0
381,21.84378327264105,14.0,67.0,5.35,0.0,0.0,5.0
382,20.81498121094489,14.0,67.0,5.6,0.0,0.0,1.0
383,20.33366132531616,14.0,67.0,5.85,0.0,0.0,0.0
384,20.0541562316129,14.0,67.0,6.1,0.0,0.0,5.0
385,19.99689052393058,13.75,68.25,5.85,0.0,0.0,3.0
386,19.94812661037308,13.5,69.5,5.6,0.0,0.0,2.0
387,19.87573195447391,13.25,70.75,5.35,0.0,0.0,4.0
